roaster,name,price,currency,description,product_url,image_url,variants
Classic,Cremeva,₹500.0,INR,"This Specialty Coffee is produced from whole coffee cherries fermented for 48 hours with whey water. The cherries are then carefully dried to preserve clarity and balance. The resulting cup offers enhanced sweetness, gentle lactic complexity, and a clean, aromatic finish. Nectrin Wine & Ripe Banana",https://www.classiccoffees.in/products/banana-fermentation,https://cdn.shopify.com/s/files/1/0018/6941/4467/files/Cremeva_047d7971-1390-4c2d-a2ba-56b2ca3c04cf.png?v=1782383631,250g:950.00; 250g:950.00; 250g:950.00; 250g:950.00; 250g:950.00; 250g:950.00; 100g:500.00; 100g:500.00; 100g:500.00; 100g:500.00; 100g:500.00; 100g:500.00
Classic,Fusion Fermentation,₹500.0,INR,"Harley Estate introduces Fusion Fermentation Coffee, Made from selectively handpicked ripe cherries above 18% Brix. The cherries are washed, floaters removed, inoculated with selected yeast and bacteria, then anaerobically fermented to enhance flavour and cup quality.",https://www.classiccoffees.in/products/whisky-barrel-aged-coffee,https://cdn.shopify.com/s/files/1/0018/6941/4467/files/WhatsAppImage2026-06-24at5.25.54PM_4e914a09-a828-4e59-a8df-7c035233e342.jpg?v=1782381258,250g:950.00; 250g:950.00; 250g:950.00; 250g:950.00; 250g:950.00; 250g:950.00; 250g:950.00; 250g:950.00; 100g:500.00; 100g:500.00; 100g:500.00; 100g:500.00; 100g:500.00; 100g:500.00; 100g:500.00; 100g:500.00
Classic,Vintage 24 - Speciality Arabica,₹500.0,INR,"FLORA & FAUNA NO.1 In the first edition of our Harley Vintage Series, we showcase the endemic flora surrounding Harley Estate. Our Specialty Arabica is steeped in flowers like Hibiscus and rose. The Coffee cherries then undergo controlled fermentation in sealed tanks, enhancing their natural flavours for a complex and long-lasting floral cup. FLORAL, PEACH, JAGGERY, CINNAMON, SWEET ORANGE & HINT OF HAZELNUT Roast Profile : Light to Medium",https://www.classiccoffees.in/products/vintage-24-speciality-arabica,https://cdn.shopify.com/s/files/1/0018/6941/4467/files/Package_1.png?v=1746466060,250g:950.00; 250g:950.00; 250g:950.00; 250g:950.00; 250g:950.00; 250g:950.00; 250g:950.00; 250g:950.00; 100g:500.00; 100g:500.00; 100g:500.00; 100g:500.00; 100g:500.00; 100g:500.00; 100g:500.00; 100g:500.00
Classic,Black Honey,₹500.0,INR,"Classic Coffee introduces Black Honey Coffee. When processing our Black Honey at Harley Estate, we ensure to keep the maximum mucilage possible and is slowly dried under careful monitoring and a controlled environment with higher humidity, to achieve that elevated sweetness Our Black Honey coffee has hints of Milk Chocolate, Sugarcane & Tangerine Roast Profile : Light to Medium",https://www.classiccoffees.in/products/black-honey,https://cdn.shopify.com/s/files/1/0018/6941/4467/files/ankithtarleyyy.png?v=1703077414,250g:950.00; 250g:950.00; 250g:950.00; 250g:950.00; 250g:950.00; 250g:950.00; 100g:500.00; 100g:500.00; 100g:500.00; 100g:500.00; 100g:500.00; 100g:500.00
Classic,Nitrogen Maceration,₹500.0,INR,"Harley Estate introduces Nitrogen Maceration Coffee, post harvesting whole cherries are washed with clean water & kept in a sealed maceration tank, which is flushed with nitrogen gas to initiate fermentation, after fermentation, tyhe cherries are carefully dried, This method is a 100% anaerobic process of fermentation , which enhances fruit clarity, Sweetness &refined berry notes in the bean",https://www.classiccoffees.in/products/copy-of-classic-barrel-aged-arabica,https://cdn.shopify.com/s/files/1/0018/6941/4467/files/NitrogenMaceration.png?v=1781954362,250g:950.00; 250g:950.00; 250g:950.00; 250g:950.00; 250g:950.00; 100g:500.00; 100g:500.00; 100g:500.00; 100g:500.00; 100g:500.00
Classic,THE ROBUSTA SERIES,₹850.0,INR,"Robusta traditionally has a reputation of being harsh, having stronger & more bitter notes, but we at Harley Estate want to change the perspective by putting a spotlight on Robusta and showcasing all the diverse flavors      that it has to offer, Berry Bounce We start with selectively picking ripe red cherries with a high brix %. Whole cherries are washed with clean water and then stored in an airtight container for fermentation along with yeast developed in-house, which increases the tartness in the final cup. The Monarch We start with selectively picking ripe red cherries with a high Brix %. The best fruits are pulped and slow fermented with a freeze dried in-house yeast & lactic acid bacteria, by varying the fermentation time and the % lactic acid to yeast, we were able to replace the citrus & fruit notes, with sweet hazel nut cream dark cherry & brandy jam. Plume Prince We start with selectively picking ripe red cherries with a high Brix %. Post manual & mechanical sorting and garbling to remove twigs, leaves, floats and other extraneous matters the best fruits are separated. The best fruits are pulped and slow fermented with a freeze dried in-house yeast & lactic acid bacteria. The yeast used & the slow drying bring out a lot of fruitiness in the coffee Thunder Hoof We start with selectively picking ripe red cherries with a high Brix %. The best fruits are pulped and slow fermented with a freeze dried in-house yeast & lactic acid bacteria, by varying the fermentation time and the % lactic acid to yeast, we were able to replace the citrus & fruit notes, with the dark carmel, roasted hazel nut. Sugar Glider We start with selectively picking ripe red cherries with a high brix %. Post manual & mechanical sorting and garbling to remove twigs, leaves, floats and other extraneous matters the best fruits are separated. These are then pulped and taken to a fermentation tank, fermentation process takes place for 36 hours with an in-house aerobic yeast. It is then dried o",https://www.classiccoffees.in/products/the-robusta-series,https://cdn.shopify.com/s/files/1/0018/6941/4467/files/BerryBounce.png?v=1780393034,250g:850.00; 250g:850.00; 250g:850.00; 250g:850.00; 250g:850.00; 250g:850.00; 250g:850.00; 250g:850.00; 250g:850.00; 250g:850.00; 250g:850.00; 250g:850.00; 250g:850.00; 250g:850.00; 250g:850.00; 250g:850.00; 250g:850.00; 250g:850.00; 250g:850.00; 250g:850.00; 250g:850.00; 250g:850.00; 250g:850.00; 250g:850.00; 250g:850.00; 250g:850.00; 250g:850.00; 250g:850.00; 250g:850.00; 250g:850.00; 250g:850.00; 250g:850.00; 250g:850.00; 250g:850.00; 250g:850.00; 250g:850.00; 250g:850.00; 250g:850.00; 250g:850.00; 250g:850.00
Classic,Classic Rum Aged Arabica,₹600.0,INR,"Classic coffee introduces Rum Aged Coffee. Speciality coffee from Harley estate has been aged with rum to enhance the inherent fruitiness and bring out the sweet flavours of rum & raisin. Our Rum Aged Coffee has hints of Red Apple, Blueberry, Rum & Raisins. Enjoy the fragrance of Rum with the taste of coffee! Roast Profile : Light to Medium",https://www.classiccoffees.in/products/classic-rum-aged-arabica,https://cdn.shopify.com/s/files/1/0018/6941/4467/products/Rum.png?v=1626345301,250g:1100.00; 250g:1100.00; 250g:1100.00; 250g:1100.00; 250g:1100.00; 250g:1100.00; 250g:1100.00; 250g:1100.00; 100g:600.00; 100g:600.00; 100g:600.00; 100g:600.00; 100g:600.00; 100g:600.00; 100g:600.00; 100g:600.00; 500g:2200.00; 500g:2200.00; 500g:2200.00; 500g:2200.00; 500g:2200.00; 500g:2200.00; 500g:2200.00; 500g:2200.00
Classic,Classic Quick Brew - Barrel Aged,₹750.0,INR,"Elevate your coffee experience with Classic Coffee's Quick Brew Coffee Box, perfect for busy mornings! In just minutes, you can savor a rich, aromatic cup that energizes your day. Each box features four unique blends from our Barrel Aged Coffees, designed to delight every palate. Total of 10 Single Serve Sachets : Enjoy the convenience of quick brew coffee anytime, anywhere. Explore Our Exquisite Blends: Classic Whisky Barrel Aged Specialty coffee from Harley estate are aged inside whisky barrels sourced from one of India's finest whisky company to imbibe the aroma of fine whisky. Classic Rum Barrel Aged Specialty coffee from Harley estate are aged inside whisky barrels sourced from one of India's finest Rum company to imbibe the aroma of fine Rum. Ideal for the festive season, our thoughtfully crafted Quick Brew Coffee Box makes a perfect gift for coffee lovers. Treat yourself or someone special to the ultimate coffee experience today!",https://www.classiccoffees.in/products/classic-honey-sun-dried-copy,https://cdn.shopify.com/s/files/1/0018/6941/4467/files/10_f83b3f11-01bf-4e28-9f2d-c567c1331e1d.png?v=1771836064,
Classic,Sacred Ficus,₹500.0,INR,"This specialty coffee is crafted from pulped coffee cherries, fermented for 24 hours with fig-based starter culture. The beans are then gently washed and carefully dried to preserve clarity and balance. The cup reveals refined sweetness, subtle fruit complexity, and a clean, aromatic finish.",https://www.classiccoffees.in/products/sacred-ficus,https://cdn.shopify.com/s/files/1/0018/6941/4467/files/SacredFicus.png?v=1771498204,250g:950.00; 250g:950.00; 250g:950.00; 250g:950.00; 250g:950.00; 250g:950.00; 250g:950.00; 100g:500.00; 100g:500.00; 100g:500.00; 100g:500.00; 100g:500.00; 100g:500.00; 100g:500.00
Classic,Citrus Reverie,₹500.0,INR,"Our newest specialty coffee is crafted from pulped Arabica beans, fermented for 24 hours in a citronella-based enzymatic solution. The beans are then carefully hand-washed to remove the mucilage and slowly dried to preserve clarity and character. The result is vibrant cup with layered complexity, delicate citrus nuances, and a refined aromatic finish.",https://www.classiccoffees.in/products/citrus-reverie,https://cdn.shopify.com/s/files/1/0018/6941/4467/files/CitrusReverie_f62e6474-231b-45c5-9912-af26d3720363.png?v=1771497793,250g:950.00; 250g:950.00; 250g:950.00; 250g:950.00; 250g:950.00; 250g:950.00; 250g:950.00; 100g:500.00; 100g:500.00; 100g:500.00; 100g:500.00; 100g:500.00; 100g:500.00; 100g:500.00
