roaster,name,price,currency,description,product_url,image_url,variant_prices,roast_type,origin,tasting_notes,process
Coffeeverse,84 Hours Anoxic Naturals,Rs. 750.00,INR,"Coffee cherries are hand picked at their peak ripeness to ensure high quality beans. The outer skin is removed using a depulping machine, leaving beans covered in mucilage. Unlike traditional methods, fermentation occurs in oxygen free tanks. The beans ferment in these sealed tanks for about 84 hours, which influences their flavor and aroma. After fermentation, the mucilage remains as the beans are dried on raised beds or patios under controlled conditions for even drying. 
 Located in Chikmagalur, Sai Ashirwad estate is renowned for growing various coffees, including Arabica SLN 795,CxR and Robusta Old Peridenia. The farm has organic certification, showcasing its commitment to sustainable practices. Beyond coffee, it is a haven for wildlife like Indian Gaur and Malabar Giant squirrels. The estate features its own processing unit and drying yards to ensure careful handling of beans. Additionally, water harvesting ponds reflect their focus on environmental stewardship.",https://coffeeverse.in/products/84-hours-anoxic-naturals,https://cdn.shopify.com/s/files/1/0604/9579/0163/files/8_86bfc58b-d04f-4e9f-b16b-9625d120dde1.webp?v=1779959059,Whole Beans (200g):750.00; Pourover (200g):750.00; Aeropress (200g):750.00; Commercial Espresso (200g):750.00; Home Espresso (200g):750.00; French Press (200g):750.00; Cold Brew (200g):750.00; Moka Pot (200g):750.00; Channi (200g):750.00,,,,
Coffeeverse,Aeropress Clear,Rs. 5100.00,INR,,https://coffeeverse.in/products/aeropress-clear,https://cdn.shopify.com/s/files/1/0604/9579/0163/files/JS_7997.png?v=1739778461,:5100.00,,,,
Coffeeverse,Anugraha Slow Dried Naturals,Rs. 1000.00,INR,"We dried the coffee for 45-50 days in the gentle sun, allowing the cherry's richness to infuse the beans. This process highlighted tropical fruit nuances and the coffee rested for 45 days for a balanced flavor before cupping. The result is a cup bursting with flavors and lasting sweetness.",https://coffeeverse.in/products/anugraha-slow-dried-naturals,https://cdn.shopify.com/s/files/1/0604/9579/0163/files/RRG00851.webp?v=1766755286,Whole Beans (250g):1000.00; Pourover (250g):1000.00; Aeropress (250g):1000.00; Commercial Espresso (250g):1000.00; Home Espresso (250g):1000.00; French Press (250g):1000.00; Cold Brew (250g):1000.00; Moka Pot (250g):1000.00; Channi (250g):1000.00,,,,
Coffeeverse,BeWild Canephora,Rs. 1000.00,INR,"The Anoxic Naturals process at BEWILD is designed to enhance flavor depth and complexity. Ripened cherries are cleaned and sealed in airtight bags to create an oxygen-free environment, then placed in high-density polyethylene (HDPE) barrels for 10 to 11 days of fermentation.",https://coffeeverse.in/products/bewild-canephora,https://cdn.shopify.com/s/files/1/0604/9579/0163/files/RRG00843.webp?v=1766755123,Whole Beans (250g):1000.00; Pourover (250g):1000.00; Aeropress (250g):1000.00; Commercial Espresso (250g):1000.00; Home Espresso (250g):1000.00; French Press (250g):1000.00; Cold Brew (250g):1000.00; Moka Pot (250g):1000.00; Channi (250g):1000.00,,,,
Coffeeverse,Bialetti Dolce and Gabbana 3 Cups,Rs. 10900.00,INR,,https://coffeeverse.in/products/bialetti-dolce-and-gabbana-3-cups,https://cdn.shopify.com/s/files/1/0604/9579/0163/files/JS_7959.png?v=1739778085,:10900.00,,,,
Coffeeverse,Bialetti Moka Pot Classic 3 Cups,Rs. 3000.00,INR,,https://coffeeverse.in/products/bialetti-moka-pot-classic-3-cups,https://cdn.shopify.com/s/files/1/0604/9579/0163/files/JS_7958.png?v=1740639238,:3000.00,,,,
Coffeeverse,Bio Dynamic Naturals Instant Brew,Rs. 480.00,INR,,https://coffeeverse.in/products/bio-dynamic-naturals-instant-brew,https://cdn.shopify.com/s/files/1/0604/9579/0163/files/RRG00862.webp?v=1767009265,Instant pour (pack of 6):480.00,,,,
Coffeeverse,Black Tumbler,Rs. 1150.00,INR,"A sleek tumbler designed for everyday sipping. With capacity of 300ml, this is a compact yet practical tumbler. It keeps your beverage at the right temperature and fits comfortably in your hand—perfect for coffee, tea, or drinks on the go.",https://coffeeverse.in/products/tumbler,https://cdn.shopify.com/s/files/1/0604/9579/0163/files/matte-black-vacuum-insulated-tumbler-coffeeverse.webp?v=1771224830,:1150.00,,,,
Coffeeverse,Blossom Naturals,Rs. 1075.00,INR,"This is a 72-hour natural processed coffee grown at Ratnagiri Estate at 4400 feet in the Line Patte block. The cherries, with a Brix of 25.2 at harvest, were fermented for 72 hours with a specific yeast and lactobacillus culture in stainless-steel fermenters. After fermentation, the coffee was dried slowly on raised beds over 29 days with constant stirring.",https://coffeeverse.in/products/blossom-naturals,https://cdn.shopify.com/s/files/1/0604/9579/0163/files/11a.jpg?v=1760428598,Moka Pot (250g):1075.00; Channi (250g):1075.00; Cold Brew (250g):1075.00; Commercial Espresso (250g):1075.00; French Press (250g):1075.00; Home Espresso (250g):1075.00; Aeropress (250g):1075.00; Pour Over (250g):1075.00; Whole Beans (250g):1075.00,,,,
Coffeeverse,Blossom Naturals Instant Brew,Rs. 480.00,INR,,https://coffeeverse.in/products/blossom-naturals-instant-brew,https://cdn.shopify.com/s/files/1/0604/9579/0163/files/RRG00869.webp?v=1767009272,Instant pour (pack of 6):480.00,,,,
