ProductName,Slug,Description,CategoryTags,Variant,Price
Grand Reserve,,"Easily one of our most refined offerings, Grand Reserve is distinguished by its silky, full-bodied mouthfeel, intense flavours and just a touch of acidity. It’s drawn from the highest and finest plots – the Grand Cru – among our coffees. It makes for a bold cup that can be savoured black or with a splash of milk. Not sure which grind to order? Checkout our grind size chart below for a quick brew tip!","['category_coffee', 'coffee', 'ground_coffee', 'tag_citrus', 'tag_dates', 'tag_floral', 'tag_tropical_fruits']",Tin / 1kg (250 gms X 4) / Whole Beans (),3646.0
Grand Reserve,,"Easily one of our most refined offerings, Grand Reserve is distinguished by its silky, full-bodied mouthfeel, intense flavours and just a touch of acidity. It’s drawn from the highest and finest plots – the Grand Cru – among our coffees. It makes for a bold cup that can be savoured black or with a splash of milk. Not sure which grind to order? Checkout our grind size chart below for a quick brew tip!","['category_coffee', 'coffee', 'ground_coffee', 'tag_citrus', 'tag_dates', 'tag_floral', 'tag_tropical_fruits']",Tin / 1kg (250 gms X 4) / Very Fine Grind (),3646.0
Grand Reserve,,"Easily one of our most refined offerings, Grand Reserve is distinguished by its silky, full-bodied mouthfeel, intense flavours and just a touch of acidity. It’s drawn from the highest and finest plots – the Grand Cru – among our coffees. It makes for a bold cup that can be savoured black or with a splash of milk. Not sure which grind to order? Checkout our grind size chart below for a quick brew tip!","['category_coffee', 'coffee', 'ground_coffee', 'tag_citrus', 'tag_dates', 'tag_floral', 'tag_tropical_fruits']",Tin / 1kg (250 gms X 4) / Fine Grind (),3646.0
Grand Reserve,,"Easily one of our most refined offerings, Grand Reserve is distinguished by its silky, full-bodied mouthfeel, intense flavours and just a touch of acidity. It’s drawn from the highest and finest plots – the Grand Cru – among our coffees. It makes for a bold cup that can be savoured black or with a splash of milk. Not sure which grind to order? Checkout our grind size chart below for a quick brew tip!","['category_coffee', 'coffee', 'ground_coffee', 'tag_citrus', 'tag_dates', 'tag_floral', 'tag_tropical_fruits']",Tin / 1kg (250 gms X 4) / Medium Grind (),3646.0
Grand Reserve,,"Easily one of our most refined offerings, Grand Reserve is distinguished by its silky, full-bodied mouthfeel, intense flavours and just a touch of acidity. It’s drawn from the highest and finest plots – the Grand Cru – among our coffees. It makes for a bold cup that can be savoured black or with a splash of milk. Not sure which grind to order? Checkout our grind size chart below for a quick brew tip!","['category_coffee', 'coffee', 'ground_coffee', 'tag_citrus', 'tag_dates', 'tag_floral', 'tag_tropical_fruits']",Tin / 1kg (250 gms X 4) / Coarse Grind (),3646.0
Grand Reserve,,"Easily one of our most refined offerings, Grand Reserve is distinguished by its silky, full-bodied mouthfeel, intense flavours and just a touch of acidity. It’s drawn from the highest and finest plots – the Grand Cru – among our coffees. It makes for a bold cup that can be savoured black or with a splash of milk. Not sure which grind to order? Checkout our grind size chart below for a quick brew tip!","['category_coffee', 'coffee', 'ground_coffee', 'tag_citrus', 'tag_dates', 'tag_floral', 'tag_tropical_fruits']",Tin / 500gms (250 gms X 2) / Whole Beans (),1862.0
Grand Reserve,,"Easily one of our most refined offerings, Grand Reserve is distinguished by its silky, full-bodied mouthfeel, intense flavours and just a touch of acidity. It’s drawn from the highest and finest plots – the Grand Cru – among our coffees. It makes for a bold cup that can be savoured black or with a splash of milk. Not sure which grind to order? Checkout our grind size chart below for a quick brew tip!","['category_coffee', 'coffee', 'ground_coffee', 'tag_citrus', 'tag_dates', 'tag_floral', 'tag_tropical_fruits']",Tin / 500gms (250 gms X 2) / Very Fine Grind (),1862.0
Grand Reserve,,"Easily one of our most refined offerings, Grand Reserve is distinguished by its silky, full-bodied mouthfeel, intense flavours and just a touch of acidity. It’s drawn from the highest and finest plots – the Grand Cru – among our coffees. It makes for a bold cup that can be savoured black or with a splash of milk. Not sure which grind to order? Checkout our grind size chart below for a quick brew tip!","['category_coffee', 'coffee', 'ground_coffee', 'tag_citrus', 'tag_dates', 'tag_floral', 'tag_tropical_fruits']",Tin / 500gms (250 gms X 2) / Fine Grind (),1862.0
Grand Reserve,,"Easily one of our most refined offerings, Grand Reserve is distinguished by its silky, full-bodied mouthfeel, intense flavours and just a touch of acidity. It’s drawn from the highest and finest plots – the Grand Cru – among our coffees. It makes for a bold cup that can be savoured black or with a splash of milk. Not sure which grind to order? Checkout our grind size chart below for a quick brew tip!","['category_coffee', 'coffee', 'ground_coffee', 'tag_citrus', 'tag_dates', 'tag_floral', 'tag_tropical_fruits']",Tin / 500gms (250 gms X 2) / Medium Grind (),1862.0
Grand Reserve,,"Easily one of our most refined offerings, Grand Reserve is distinguished by its silky, full-bodied mouthfeel, intense flavours and just a touch of acidity. It’s drawn from the highest and finest plots – the Grand Cru – among our coffees. It makes for a bold cup that can be savoured black or with a splash of milk. Not sure which grind to order? Checkout our grind size chart below for a quick brew tip!","['category_coffee', 'coffee', 'ground_coffee', 'tag_citrus', 'tag_dates', 'tag_floral', 'tag_tropical_fruits']",Tin / 500gms (250 gms X 2) / Coarse Grind (),1862.0
Grand Reserve,,"Easily one of our most refined offerings, Grand Reserve is distinguished by its silky, full-bodied mouthfeel, intense flavours and just a touch of acidity. It’s drawn from the highest and finest plots – the Grand Cru – among our coffees. It makes for a bold cup that can be savoured black or with a splash of milk. Not sure which grind to order? Checkout our grind size chart below for a quick brew tip!","['category_coffee', 'coffee', 'ground_coffee', 'tag_citrus', 'tag_dates', 'tag_floral', 'tag_tropical_fruits']",Tin / 250 gms / Whole Beans (),951.0
Grand Reserve,,"Easily one of our most refined offerings, Grand Reserve is distinguished by its silky, full-bodied mouthfeel, intense flavours and just a touch of acidity. It’s drawn from the highest and finest plots – the Grand Cru – among our coffees. It makes for a bold cup that can be savoured black or with a splash of milk. Not sure which grind to order? Checkout our grind size chart below for a quick brew tip!","['category_coffee', 'coffee', 'ground_coffee', 'tag_citrus', 'tag_dates', 'tag_floral', 'tag_tropical_fruits']",Tin / 250 gms / Very Fine Grind (),951.0
