roaster,name,price,currency,description,product_url,image_url,variants
Kat and Kin,Cauvery,₹360.0,INR,"Cauvery — a coffee that captures the richness of Chikmagalur’s Western Ghats. Grown at the renowned M.S. Estate, this coffee thrives in cool mountain air, rich soil, heavy rainfall, and dense evergreen shade. The cup opens with warm aromas of toasted almonds and fragrant cardamom, followed by delicate notes of grapefruit that add a bright citrus lift. Crafted from carefully cultivated Arabica varietals, Cauvery reflects both the land and the long-standing legacy of Balanoor Plantations. Smooth, layered, and comforting, perfect for slow mornings and thoughtful brewing. Origin - M.S. Estates, Chikmagalur Process - Washed Roast - Medium",https://katandkincoffee.com/products/cauvery,https://cdn.shopify.com/s/files/1/0840/2970/2453/files/WebBanner2-04.png?v=1779687344,100g:360.00; 100g:360.00; 100g:360.00; 100g:360.00; 100g:360.00; 250g:850.00; 250g:850.00; 250g:850.00; 250g:850.00; 250g:850.00; 1kg:3300.00; 1kg:3300.00; 1kg:3300.00; 1kg:3300.00; 1kg:3300.00
Kat and Kin,Tanzanian,₹825.0,INR,The special Tanzanian bean sourced from Burka Estates one of the largest estates in Tanzania gives you a floral notes that can take one places with every sip. Burka Estates helps communities build and supports them all along while conserving the environment and its natural resources. Origin - Burka Estates Process - Washed Roast - Medium,https://katandkincoffee.com/products/tanzanian,https://cdn.shopify.com/s/files/1/0840/2970/2453/files/tanzanian_w_bg.png?v=1779258382,100g:825.00; 100g:825.00; 100g:825.00; 100g:825.00; 100g:825.00; 250g:1900.00; 250g:1900.00; 250g:1900.00; 250g:1900.00; 250g:1900.00
Kat and Kin,Sarchimor,₹520.0,INR,"Another organic coffee from the Hills of Kodaikanal A wonderfully sweet and nutty cup. Prominent notes of toasted almond give way to a rich, buttery mouthfeel, perfectly balanced by a smooth, lingering honey and vanilla finish Origin - The Natural Farmer, Kodaikanal Process - Washed Roast - Medium",https://katandkincoffee.com/products/sarchimor,https://cdn.shopify.com/s/files/1/0840/2970/2453/files/photo_2026-05-22_14.02.55.jpg?v=1779438804,100g:520.00; 100g:520.00; 100g:520.00; 100g:520.00; 100g:520.00; 250g:1230.00; 250g:1230.00; 250g:1230.00; 250g:1230.00; 250g:1230.00; 1kg:4700.00; 1kg:4700.00; 1kg:4700.00; 1kg:4700.00; 1kg:4700.00
Kat and Kin,Kodai Reserve,₹570.0,INR,"From the misty hills of Kodai comes a cup that celebrates craft and innovation. Our Kodai Reserve undergoes anaerobic fermentation, a process where coffee cherries are fermented without oxygen, allowing wild, fruity flavors to fully develop. This process brings out vibrant berry-like notes and a layered complexity that lingers with every sip. The result is a coffee that feels both bold and refined, offering an indulgent tasting experience unlike any other. Origin - Anughraha Estates, Kodaikanal Process - Anaerobic Naturals Roast - Medium",https://katandkincoffee.com/products/kodai-reserve,https://cdn.shopify.com/s/files/1/0840/2970/2453/files/rsz_4131-product.jpg?v=1768392169,100g:570.00; 100g:570.00; 100g:570.00; 100g:570.00; 100g:570.00; 250g:1365.00; 250g:1365.00; 250g:1365.00; 250g:1365.00; 250g:1365.00; 1kg:5200.00; 1kg:5200.00; 1kg:5200.00; 1kg:5200.00; 1kg:5200.00
Kat and Kin,The South Indian Filter Blend,₹300.0,INR,"A clean, smooth cup exuding notes of vanilla and caramel with Earthy, woody, and nutty tastes. Origin - 80% Robusta 20% Arabica- Chandragiri Process - Washed Roast - Medium",https://katandkincoffee.com/products/the-south-indian-filter-blend-1,https://cdn.shopify.com/s/files/1/0840/2970/2453/files/rsz_6131-product.jpg?v=1768392287,250g:300.00; 250g:300.00
Kat and Kin,Dark Moon,₹360.0,INR,"A cup with an aroma of molasses and tasting notes of walnuts, ripened bing cherries, and cocoa nibs Origin - M.S. Estate, Chikmagalur Process - Washed Roast - Dark",https://katandkincoffee.com/products/dark-moon,https://cdn.shopify.com/s/files/1/0840/2970/2453/files/rsz_1111-product.jpg?v=1768391859,100g:360.00; 100g:360.00; 100g:360.00; 100g:360.00; 100g:360.00; 250g:850.00; 250g:850.00; 250g:850.00; 250g:850.00; 250g:850.00; 1kg:3300.00; 1kg:3300.00; 1kg:3300.00; 1kg:3300.00; 1kg:3300.00
Kat and Kin,Kodai Natural,₹480.0,INR,"A cup full of aromas of vanilla and caramel with flavors of hazelnut, molasses, and a medium-bodied Merlot Origin - Anughraha Estates, Kodaikanal Process - Naturals Roast - Medium",https://katandkincoffee.com/products/kodai-natural,https://cdn.shopify.com/s/files/1/0840/2970/2453/files/rsz_121-product.jpg?v=1768392007,100g:480.00; 100g:480.00; 100g:480.00; 100g:480.00; 100g:480.00; 250g:1155.00; 250g:1155.00; 250g:1155.00; 250g:1155.00; 250g:1155.00; 1kg:4400.00; 1kg:4400.00; 1kg:4400.00; 1kg:4400.00; 1kg:4400.00
Kat and Kin,Shieldtail,₹430.0,INR,"A well-balanced cup with a spicy aroma and intense flavor notes of dark chocolate and lime. Origin - Kerehaklu, Chikmagalur Process - Washed Roast - Medium",https://katandkincoffee.com/products/shieldtail,https://cdn.shopify.com/s/files/1/0840/2970/2453/files/rsz_5131-product.jpg?v=1768392250,100g:430.00; 100g:430.00; 100g:430.00; 100g:430.00; 100g:430.00; 250g:1000.00; 250g:1000.00; 250g:1000.00; 250g:1000.00; 250g:1000.00; 1kg:3900.00; 1kg:3900.00; 1kg:3900.00; 1kg:3900.00; 1kg:3900.00
Kat and Kin,Nutty Combo,₹925.0,INR,"Savor the harmonious blend of nutty flavors with our Nutty Pack, a trio thoughtfully curated for those who seek the grounding essence of earthy coffee. This collection invites you to embark on a journey through distinct blends, each expressing the distinct, rich, nutty tone of coffee. Includes: Monsooned Malabar - 100g Shieldtail - 100g Espresso Blend - 100g",https://katandkincoffee.com/products/trial-pack-combo-4-nutty,https://cdn.shopify.com/s/files/1/0840/2970/2453/files/combo_nutty.png?v=1741686319,
Kat and Kin,International Combo,₹1600.0,INR,"Take your taste buds on a trip across the world with our International Pack. A trio designed for a global coffee experience. Curated for those seeking the thrill of exploring distinctive coffee profiles, each blend in this collection encapsulates the essence of its origin, inviting you to savor the rich diversity of coffee from around the world. Includes: The Costa Rican  - 100g The Ethiopian Heirloom (Grown in Chikmagalur) - 100g The Kenyan 100g",https://katandkincoffee.com/products/trial-pack-combo-3-international,https://cdn.shopify.com/s/files/1/0840/2970/2453/files/combo_international_1.png?v=1709097737,
