roaster,name,price,currency,description,product_url,image_url,variants
Koffee Genetics,Flores Blancas,₹1095.0,INR,"Tasting Notes: Jasmine, Bergamot, Water Apple, Dried Plum Roast: Light Varietal: Red Catuai Process: 72hrs Culture Process Origin: Pearl Mountain, Karnataka Elevation: 1350M Cup Score 88.25",https://genetics.coffee/products/flores-blancas,https://cdn.shopify.com/s/files/1/0678/8569/5254/files/flores_Blancas.png?v=1775057292,200g:1095.00; 200g:1095.00; 200g:1095.00; 200g:1095.00; 200g:1095.00; 200g:1095.00; 200g:1095.00; 200g:1095.00; 200g:1095.00; 200g:1095.00; 200g:1095.00; 200g:1095.00
Koffee Genetics,Ibadat,₹450.0,INR,"Black Cherry | Cantaloupe | Wild Honey | Blood Orange Roast: Omni Varietal: SL9 Process: Anaerobic Naturals Origin: Bison Valley Estate, Shevaroys Elevation: 4000-4500 ft Cup Score 86.5",https://genetics.coffee/products/ibadat,https://cdn.shopify.com/s/files/1/0678/8569/5254/files/Ibadat-Byson-Valley_cdcc0046-292c-4951-a881-af39594ed11b.png?v=1773300531,200g:1200.00; 200g:1200.00; 200g:1200.00; 200g:1200.00; 200g:1200.00; 200g:1200.00; 200g:1200.00; 200g:1200.00; 200g:1200.00; 200g:1200.00; 200g:1200.00; 200g:1200.00; 75g:450.00; 75g:450.00; 75g:450.00; 75g:450.00; 75g:450.00; 75g:450.00; 75g:450.00; 75g:450.00; 75g:450.00; 75g:450.00; 75g:450.00; 75g:450.00
Koffee Genetics,Nargis,₹450.0,INR,"Yellow Plum | Dried Carnation | Mandarin Zest | Caramel Roast: Omni Varietal: SL9, SL795 Process: Anaerobic Naturals Origin: Orchardale, Shevaroys Elevation: 1500 M.A.S.L Cup Score 86.5",https://genetics.coffee/products/nargis,https://cdn.shopify.com/s/files/1/0678/8569/5254/files/Nargis.png?v=1768370755,200g:1200.00; 200g:1200.00; 200g:1200.00; 200g:1200.00; 200g:1200.00; 200g:1200.00; 200g:1200.00; 200g:1200.00; 200g:1200.00; 200g:1200.00; 200g:1200.00; 200g:1200.00; 75g:450.00; 75g:450.00; 75g:450.00; 75g:450.00; 75g:450.00; 75g:450.00; 75g:450.00; 75g:450.00; 75g:450.00; 75g:450.00; 75g:450.00; 75g:450.00
Koffee Genetics,Paradise - 48Hrs Pineapple Fermented Naturals,₹991.0,INR,"Varietal : Red Catuai Roast: Light-Medium Reminds Us Of : Lemon Zest | Grapes | Honey | Sweet Lime Process : Carbonic Macerated with Pineapple Origin: Ratnagiri Estate, Baba Budan Giri, KN Altitude : 1350 MASL",https://genetics.coffee/products/paradise-pineapple-fermented-naturals,https://cdn.shopify.com/s/files/1/0678/8569/5254/files/Paradise_2025.png?v=1762779121,200g:991.00; 200g:991.00; 200g:991.00; 200g:991.00; 200g:991.00; 200g:991.00; 200g:991.00; 200g:991.00; 200g:991.00; 200g:991.00; 200g:991.00; 200g:991.00
Koffee Genetics,SL-28 Thermal Shock,₹585.0,INR,"Tasting Notes : Concord Grapes | Tangerine | Maple Syrup | Biscotti Varietal : SL28 Elevation: 1350 MASL Origin : Pearl Mountain, Athigiri Process : Thermal Shock Fermentation : 36Hrs Anaerobic (With Yeast) Roast : Medium-Light",https://genetics.coffee/products/thermal-shock,https://cdn.shopify.com/s/files/1/0678/8569/5254/files/SL-28_Thermal_Shock.png?v=1769582325,200g:991.00; 200g:991.00; 200g:991.00; 200g:991.00; 200g:991.00; 200g:991.00; 200g:991.00; 200g:991.00; 200g:991.00; 200g:991.00; 200g:991.00; 200g:991.00; 100g:585.00; 100g:585.00; 100g:585.00; 100g:585.00; 100g:585.00; 100g:585.00; 100g:585.00; 100g:585.00; 100g:585.00; 100g:585.00; 100g:585.00; 100g:585.00
Koffee Genetics,Mohabbat - Cashew Fruit Fermented Excelsa,₹991.0,INR,"Tastes like : Dried Figs | Prunes | Dried Berries | Silky Varietal: Excelsa Roast: Medium SCA Cup Score: 87 Process: Anaerobic Naturals Origin: Dimbada Estate, Sakleshpur Elevation: Elevation 950M Fermentation: 48Hrs Cashew Fruit",https://genetics.coffee/products/mohabbat-72hrs-cashew-fruit-fermented-liberica,https://cdn.shopify.com/s/files/1/0678/8569/5254/files/Mohabbat.png?v=1762758620,200g:991.00; 200g:991.00; 200g:991.00; 200g:991.00; 200g:991.00; 200g:991.00; 200g:991.00; 200g:991.00; 200g:991.00; 200g:991.00; 200g:991.00; 200g:991.00
Koffee Genetics,Excelsa Naturals - 110Hrs Sequential Fermented,₹892.0,INR,"Dried Prunes | Black Raisins  | Nougat | Dark Berries Varietal: Exelsa Roast: Light-Medium SCA Cup Score: 86 Process: 110Hrs Culture Process Fermentation: Yeast & Lactic Culture Origin: Dimbada Estate, Sakleshpur Elevation: Elevation | 900-1100M",https://genetics.coffee/products/exelsa-naturals,https://cdn.shopify.com/s/files/1/0678/8569/5254/files/Excelsa_Naturals.png?v=1762773363,200g:892.00; 200g:892.00; 200g:892.00; 200g:892.00; 200g:892.00; 200g:892.00; 200g:892.00; 200g:892.00; 200g:892.00; 200g:892.00; 200g:892.00; 200g:892.00
Koffee Genetics,Finca Miramar - El Salvador,₹1344.0,INR,"Black Cherry, Golden Raisins, Velvety, Dark Chocolate Roast: light Varietal: Bourbon, Arabigo Process: Anaerobic Naturals Origin: Apaneca, El Salvador Producer : Fernando Alfaro Elevation: 1600-1700 M.A.S.L",https://genetics.coffee/products/finca-miramar-el-salvador,https://cdn.shopify.com/s/files/1/0678/8569/5254/files/image_aae60836-82af-436b-92a3-677d9b8bfb00.jpg?v=1762754052,100g:1344.00; 100g:1344.00; 100g:1344.00; 100g:1344.00; 100g:1344.00; 100g:1344.00; 100g:1344.00; 100g:1344.00; 100g:1344.00; 100g:1344.00; 100g:1344.00; 100g:1344.00
Koffee Genetics,Rwanda - Isimbi Washed,₹1150.0,INR,"Pink Grapefruit, Sweet Lime, Orange Candy, Black Tea Roast: light Varietal: Bourbon Process: Fully Washed Origin: Isimbi, Rwanda Producer : Isimbi Station Elevation: 1100-2000 M.A.S.L",https://genetics.coffee/products/rwanda-isimbi-washed,https://cdn.shopify.com/s/files/1/0678/8569/5254/files/WhatsAppImage2025-11-10at11.05.28AM.jpg?v=1762753927,100g:1150.00; 100g:1150.00; 100g:1150.00; 100g:1150.00; 100g:1150.00; 100g:1150.00; 100g:1150.00; 100g:1150.00; 100g:1150.00; 100g:1150.00; 100g:1150.00; 100g:1150.00
Koffee Genetics,Yirgacheffe - Ethiopia,₹1150.0,INR,"Guava, Apricot, Rose, Cantaloupe, Brown Sugar Roast: light Varietal: Jarc Varietals, local land race Process: Naturals Origin: Yirgacheffe, Ethiopia Elevation: 1900-2200 M.A.S.L",https://genetics.coffee/products/yirgacheffe-ethiopia,https://cdn.shopify.com/s/files/1/0678/8569/5254/files/Yirgacheffe.jpg?v=1762753648,100g:1150.00; 100g:1150.00; 100g:1150.00; 100g:1150.00; 100g:1150.00; 100g:1150.00; 100g:1150.00; 100g:1150.00; 100g:1150.00; 100g:1150.00; 100g:1150.00; 100g:1150.00
