roaster,name,price,currency,description,product_url,image_url,variants
Caffeine Baar,Mixed Fruit Fermentation Sample Packet,₹300.0,INR,"This nano-lot from Baarbara Estate showcases a unique mixed-fruit fermentation; where handpicked ripened cherries are washed in natural spring water and fermented alongside pineapple, papaya, and watermelon in stainless steel tanks. The process is closely monitored for pH and temperature to ensure consistency, with a 1:2 coffee-to-fruit ratio enhancing complexity. Once fermentation is complete, the pulped coffee is sun-dried on raised beds to achieve the perfect moisture level. The result is a lively, tropical coffee with notes of pineapple, honey, sweet lime, and tangerine; offering both brightness and balance in the cup. Our favourite lot this year - we also like to call it a Fruit Punch! Origin - Baarbara, Chikmagalur, Karnataka Altitude - 4500 ft - 5000 ft Varietal - SLN 795 Roasted for - Filter Recommended Brewing Equipment - Pour Over (V60/Kalita), Aeropress Taste Notes - Pineapple, Honey, Sweet Lime, Tangerine",https://www.thecaffeinebaar.com/products/mixed-fruit-fermentation-sample-packet,https://cdn.shopify.com/s/files/1/0553/9862/9537/files/NEW_mixed-fruits-sticker.jpg?v=1757926292,70g:300.00; 70g:300.00; 70g:300.00; 70g:300.00; 70g:300.00; 70g:300.00; 70g:300.00; 70g:300.00; 70g:300.00; 70g:300.00; 70g:300.00
Caffeine Baar,Whiskey Barrel Aged Sample Packet,₹385.0,INR,"Introducing The Caffeine Baar’s newest creation: Whiskey Barrel Aged Coffee. Washed green beans are aged for 120 days in authentic whiskey barrels, soaking in the rich essence of oak and whiskey. They are then meticulously roasted to deliver bold, indulgent notes of cocoa nibs, oak, and pecan. Experience this innovative take on cold brew—barrel on the rocks. Origin - Baarbara, Chikmagalur, Karnataka Altitude - 4500 ft - 5000 ft Varietal - SLN 795 Roasted for - Filter Recommended Brewing Equipment - Cold Brew Taste Notes - Cacao nibs, Oak & Pecan",https://www.thecaffeinebaar.com/products/whiskey-barrel-aged-sample-packet,https://cdn.shopify.com/s/files/1/0553/9862/9537/files/Barrel_Aged_FOR_WEB_SITE_1__page-0001.jpg?v=1736420275,70g:385.00; 70g:385.00; 70g:385.00; 70g:385.00; 70g:385.00; 70g:385.00; 70g:385.00; 70g:385.00; 70g:385.00; 70g:385.00; 70g:385.00
Caffeine Baar,Intenso Fermentation Sample Packet,₹380.0,INR,"This nano-lot from Baarbara Estate was produced by adding yeast to the ripened cherries in a controlled environment. The fermentation process results in notes of candied fruits and berries in the cup with a prominent acidity and complexity. This is the first year we experiment with yeast fermentation. For this lot, we chose a yeast called Intenso (Saccharomyces cerevisiae), intended to increase fruity flavours, mouthfeel and general cup quality. We found a floral aroma and notes of pomegranate, cherry, candied fruit and a hints of prunes supported by a smooth mouthfeel and the best way to enjoy this is to either brew a pour over or an iced coffee. We have cupped this coffee multiple times in different stages of harvest and roast profiles. It can be strange and puzzling (in a nice way) because the flavours are constantly developing. It's like watching your favourite movie, that you've forgotten. Origin - Single Origin Altitude - 4500 ft - 5000 ft Varietal - SLN 795 Roasted for - Filter Best brewed as -Pour Over and Iced Coffees Taste Notes - Pomegranate, Cherry, Candied Fruit & Prunes",https://www.thecaffeinebaar.com/products/intenso-fermentation-sample-packet,https://cdn.shopify.com/s/files/1/0553/9862/9537/files/2.png?v=1754037338,70g:380.00; 70g:380.00; 70g:380.00; 70g:380.00; 70g:380.00; 70g:380.00; 70g:380.00; 70g:380.00; 70g:380.00; 70g:380.00; 70g:380.00
Caffeine Baar,Frozen Cherry Sample Packet,₹380.0,INR,"The method takes inspiration from ingredients outside of coffee which develop amazing natural sweetness thanks to freezing temperatures. Inspired by the wine industry, whole cherries are fermented and put in a freezer in bags so the sugars accumulate. Further removed and slow dried on raised beds. Origin - Baarbara, Chikmagalur, Karnataka Altitude - 4500 ft - 5000 ft Varietal - SLN 795 Roasted for - Filter Recommended Brewing Equipment - Pour Over and Aeropress Taste Notes - Juicy Mango, Mixed berries",https://www.thecaffeinebaar.com/products/frozen-cherry-sample-packet,https://cdn.shopify.com/s/files/1/0553/9862/9537/files/2_93508dd6-1bf5-4c11-8dec-e0698642d114.jpg?v=1754036955,70g:380.00; 70g:380.00; 70g:380.00; 70g:380.00; 70g:380.00; 70g:380.00; 70g:380.00; 70g:380.00; 70g:380.00; 70g:380.00; 70g:380.00
Caffeine Baar,Honey Sun Dried Sample Packet,₹340.0,INR,"Let The Caffeine Baar's Honey Sun Dried coffee beguile you. For this fragrant offering, cherries are pulped and sun-dried with a thick layer of mucilage to ensure sweet and fruity flavours with every sip. Origin - Baarbara, Chikmagalur, Karnataka Altitude - 4500 ft - 5000 ft Varietal - SLN 795 Roasted for - Espresso Recommended Brewing Equipment - Aeropress, Iced Coffee Taste Notes - Cherry, Orange Rind",https://www.thecaffeinebaar.com/products/honey-sun-dried-sample-packet,https://cdn.shopify.com/s/files/1/0553/9862/9537/files/2_c9f76844-ec8a-4536-ac3b-5c198274ecef.jpg?v=1754036256,70g:340.00; 70g:340.00; 70g:340.00; 70g:340.00; 70g:340.00; 70g:340.00; 70g:340.00; 70g:340.00; 70g:340.00; 70g:340.00; 70g:340.00
Caffeine Baar,Naturals Sample Packet,₹340.0,INR,"﻿Wake up to the aroma of The Caffeine Baar's Natural coffee. For this product, luscious ripened coffee cherries are fermented for 24 hours and dried on raised beds, till you get a burst of flavour with every sip. Origin - Baarbara, Chikmagalur, Karnataka Altitude - 4500 ft - 5000 ft Varietal - SLN 795 Roasted for - Filter Recommended Brewing Equipment - V60 and Inverted Aeropress Taste Notes - Coconut Chips, Mango",https://www.thecaffeinebaar.com/products/naturals-sample-packet,https://cdn.shopify.com/s/files/1/0553/9862/9537/files/2.jpg?v=1754029241,70g:340.00; 70g:340.00; 70g:340.00; 70g:340.00; 70g:340.00; 70g:340.00; 70g:340.00; 70g:340.00; 70g:340.00; 70g:340.00; 70g:340.00
Caffeine Baar,72 Hour Fermented Washed Sample Packet,₹320.0,INR,"The Caffeine Baar presents its 72 hour fermented washed coffee. For this delightful offering, wet-processed coffee is fermented in stainless steel tanks for 72 hours till it offers a full-bodied flavour with every sip. Origin - Baarbara, Chikmagalur, Karnataka Altitude - 4500 ft - 5000 ft Varietal - SLN 795 Roasted for - Espresso Recommended Brewing Equipment - Espresso, Cappuccino Taste Notes - Roasted Almonds, Cacao Nibs",https://www.thecaffeinebaar.com/products/72-hour-fermented-washed-sample-packet,https://cdn.shopify.com/s/files/1/0553/9862/9537/files/2_a6f1ef00-eb70-4d55-a896-6ad84634a4ea.jpg?v=1754046309,70g:320.00; 70g:320.00; 70g:320.00; 70g:320.00; 70g:320.00; 70g:320.00; 70g:320.00; 70g:320.00; 70g:320.00; 70g:320.00; 70g:320.00
Caffeine Baar,Pineapple Fermentation Sample Packet,₹350.0,INR,"The Caffeine Baar is proud to present its most innovative offering, for which pulped coffee is fermented with fresh pineapple till the fruit and cherries break down into delicious flavours. This process is so unique that no two batches of coffee taste the same. Origin - Baarbara, Chikmagalur, Karnataka Altitude - 4500 ft - 5000 ft Varietal - SLN 795 Roast Style - Filter Recommended Brewing Equipment - Ristretto and Syphon Taste Notes - Caramel, Toasted Nuts",https://www.thecaffeinebaar.com/products/pineapple-fermentation-sample-packet,https://cdn.shopify.com/s/files/1/0553/9862/9537/files/2_49ceb44d-974e-4140-9948-917960cf2b30.jpg?v=1754036595,70g:350.00; 70g:350.00; 70g:350.00; 70g:350.00; 70g:350.00; 70g:350.00; 70g:350.00; 70g:350.00; 70g:350.00; 70g:350.00; 70g:350.00
Caffeine Baar,Mixed Fruit Fermentation,₹850.0,INR,"This nano-lot from Baarbara Estate showcases a unique mixed-fruit fermentation; where handpicked ripened cherries are washed in natural spring water and fermented alongside pineapple, papaya, and watermelon in stainless steel tanks. The process is closely monitored for pH and temperature to ensure consistency, with a 1:2 coffee-to-fruit ratio enhancing complexity. Once fermentation is complete, the pulped coffee is sun-dried on raised beds to achieve the perfect moisture level. The result is a lively, tropical coffee with notes of pineapple, honey, sweet lime, and tangerine; offering both brightness and balance in the cup. Our favourite lot this year - we also like to call it a Fruit Punch! Origin - Baarbara, Chikmagalur, Karnataka Altitude - 4500 ft - 5000 ft Varietal - SLN 795 Roasted for - Filter Recommended Brewing Equipment - Pour Over (V60/Kalita), Aeropress Taste Notes - Pineapple, Honey, Sweet Lime, Tangerine",https://www.thecaffeinebaar.com/products/mixed-fruit-fermentation,https://cdn.shopify.com/s/files/1/0553/9862/9537/files/NEW_mixed-fruits-sticker.jpg?v=1757926292,250g:850.00; 1kg:3200.00; 250g:850.00; 1kg:3200.00; 250g:850.00; 1kg:3200.00; 250g:850.00; 1kg:3200.00; 250g:850.00; 1kg:3200.00; 250g:850.00; 1kg:3200.00; 250g:850.00; 1kg:3200.00; 250g:850.00; 1kg:3200.00; 250g:850.00; 1kg:3200.00; 250g:850.00; 1kg:3200.00; 250g:850.00; 1kg:3200.00
Caffeine Baar,Whiskey Barrel Aged,₹1100.0,INR,"Introducing The Caffeine Baar’s newest creation: Whiskey Barrel Aged Coffee. Washed green beans are aged for 120 days in authentic whiskey barrels, soaking in the rich essence of oak and whiskey. They are then meticulously roasted to deliver bold, indulgent notes of cocoa nibs, oak, and pecan. Experience this innovative take on cold brew—barrel on the rocks. Origin - Baarbara, Chikmagalur, Karnataka Altitude - 4500 ft - 5000 ft Varietal - SLN 795 Roasted for - Filter Recommended Brewing Equipment - Cold Brew Taste Notes - Cacao nibs, Oak & Pecan",https://www.thecaffeinebaar.com/products/whisky-barrel-aged,https://cdn.shopify.com/s/files/1/0553/9862/9537/files/Barrel_Aged_FOR_WEB_SITE_1__page-0001.jpg?v=1736420275,200g:1100.00; 1kg:4950.00; 200g:1100.00; 1kg:4950.00; 200g:1100.00; 1kg:4950.00; 200g:1100.00; 1kg:4950.00; 200g:1100.00; 1kg:4950.00; 200g:1100.00; 1kg:4950.00; 200g:1100.00; 1kg:4950.00; 200g:1100.00; 1kg:4950.00; 200g:1100.00; 1kg:4950.00; 200g:1100.00; 1kg:4950.00; 200g:1100.00; 1kg:4950.00
