roaster,name,price,currency,description,product_url,image_url,variants
Seven Beans,Maley Monsoon Malabar Coffee — Medium Dark Roast | Low Acidity | Dark Chocolate & Malt Notes | Specialty Single-Origin Arabica,₹600.0,INR,"☕ MONSOON MALABAR SPECIALTY COFFEE Low acidity • Smooth body • Deep, rounded character Crafted from monsooned Arabica beans, known for their uniquely mellow profile and full-bodied richness. ━━━━━━━━━━━━━━━━━━━━━━━ 🍫 TASTE PROFILE Dark chocolate • Malt sweetness • Long, clean finish A rich, chocolate-forward cup with subtle malt notes and a smooth, lingering aftertaste. ━━━━━━━━━━━━━━━━━━━━━━━ 🌿 LOW ACID, EASY ON THE STOMACH Naturally low in acidity due to the monsooning process No sharpness. No bitterness. Just a smooth, balanced cup you can enjoy every day. ━━━━━━━━━━━━━━━━━━━━━━━ 🇮🇹 ITALIAN-STYLE ROASTING Balanced • Aromatic • Consistent Roasted using traditional Italian techniques to bring out depth, aroma, and clarity in every cup. ━━━━━━━━━━━━━━━━━━━━━━━ 🌱 SINGLE-ORIGIN INDIAN ARABICA Shade-grown • Sustainably sourced • Specialty grade Sourced from select South Indian estates, preserving both quality and biodiversity. ━━━━━━━━━━━━━━━━━━━━━━━ 🛠️ BREW IT YOUR WAY ✔ South Indian Filter Coffee (Recommended) ✔ French Press ✔ Espresso ✔ Pour Over Designed for versatility—whether you like it strong, creamy, or clean. ━━━━━━━━━━━━━━━━━━━━━━━ 🔥 FRESHLY ROASTED FOR MAX FLAVOUR Roasted and packed in-house Sealed to lock in aroma, freshness, and taste. ━━━━━━━━━━━━━━━━━━━━━━━ 🏆 WHY YOU’LL LOVE IT • Smooth, low-acid coffee you can drink daily • Rich chocolate flavor without bitterness • Perfect for authentic filter coffee • Crafted with Italian roasting precision • Premium specialty coffee experience at home ━━━━━━━━━━━━━━━━━━━━━━━ 📦 FROM SEED TO CUP We control every step — sourcing, roasting, grinding, and packing — ensuring unmatched consistency and quality in every batch",https://sevenbeans.co/products/maley-medium-dark-roast-single-origin-gourmet-indian-coffee,https://cdn.shopify.com/s/files/1/3099/9380/files/Maley_250g_Black_Pouch_Render_Front.png?v=1762588005,250g:600.00; 250g:600.00; 250g:600.00; 250g:600.00; 250g:600.00; 250g:600.00; 250g:600.00; 250g:600.00; 250g:600.00
Seven Beans,"Nava Coffee – Arabica Peaberry & Robusta Blend | Medium Dark Roast | Dark Chocolate, Roasted Almond & Raisin Notes",₹550.0,INR,"☕ Bold. Balanced. Deeply Satisfying. NAVA is a refined blend of Arabica Peaberry and Robusta, crafted for a rich, full-bodied cup with the perfect balance of strength and smoothness. Roasted to a medium dark profile, it delivers a deep, satisfying coffee experience without harshness. 🍫 Flavour Profile Dark chocolate richness leads the cup, followed by warm roasted almond undertones and a mellow raisin sweetness that lingers with every sip. 🔥 Why You'll Love It • Strong yet smooth — perfect daily coffee • Balanced blend of Arabica and Robusta • Medium dark roast for depth and body • Works beautifully with milk or black ☕ Brew It Your Way Perfect for espresso, moka pot and filter coffee — consistent, reliable and always satisfying. If you're looking for a coffee that delivers both strength and flavour without compromise, NAVA is your everyday go-to.",https://sevenbeans.co/products/nava-medium-roast-single-origin-gourmet-indian-coffee-copy,https://cdn.shopify.com/s/files/1/3099/9380/files/Nava_250g_Black_Pouch_Render_Front.png?v=1762423303,250g:550.00; 250g:550.00; 250g:550.00; 250g:550.00; 250g:550.00; 250g:550.00; 250g:550.00; 250g:550.00; 250g:550.00
Seven Beans,South Indian Coffee Filter (Stainless Steel) – Traditional Decoction Maker | Strong Filter Coffee at Home (250 ml / 2–4 Cups),₹399.0,INR,"☕ Authentic Filter Coffee, Made Right Experience the true taste of South Indian filter coffee with a traditional stainless steel decoction maker. Designed to extract rich, bold decoction, this filter delivers a smooth and aromatic cup every time. 🔩 Built for Daily Use Crafted from high-quality stainless steel, this coffee filter is: Rust-resistant Durable and long-lasting Easy to clean and maintain Perfect for everyday use without compromising on taste. 🎯 Perfect Strength, Every Time The precision perforated filter ensures: Even extraction Strong, concentrated decoction No clogging when used correctly Whether you like your coffee strong or balanced, this gives you full control. 🏠 Ideal for Home Brewing Capacity: 250 ml (2–4 cups) Compact and easy to use No electricity needed Just add coffee powder, pour hot water, and let gravity do the work. 👌 Simple 3-Step Brewing Add finely ground filter coffee powder Pour hot water into the top chamber Let decoction drip into the bottom Mix with hot milk and sugar — your coffee is ready. 🇮🇳 Traditional Taste, Modern Quality Bring home the authentic “kaapi” experience with a product that combines traditional design with modern durability.",https://sevenbeans.co/products/south-indian-filter-coffee-maker,https://cdn.shopify.com/s/files/1/3099/9380/files/image.png?v=1775469341,
Seven Beans,"“Agumbe"" South Indian Filter Coffee Powder - Coffee: 70%, Chicory: 30%",₹469.0,INR,"This handpicked coffee is roasted, ground, and mixed with chicory to give the delicious aroma and taste of south Indian coffee. This coarsely ground roasted coffee has a rich intense flavor and aroma. Packaged after being freshly roasted and ground to maintain exceptional quality. Makes an aromatic thick decoction when used in a south Indian filter. Available in a dark roast for those who prefer a stronger coffee taste Grown, Roasted & Packaged in Chikmagalur",https://sevenbeans.co/products/agumbe-south-indian-filter-coffee-powder-coffee-70-chicory-30,https://cdn.shopify.com/s/files/1/3099/9380/products/Agumbe_Dark_Roast_Front.jpg?v=1604983070,500g:469.00; 500g:879.00
Seven Beans,Spresso Coffee,₹390.0,INR,"Coffee: Arabica & Robusta Strong coffee with bold crema and earthy, spicy notes! This unique coffee works well as both black coffee and with milk. These perfectly roasted coffee beans are hand-picked from our very own plantations in Chikmagalur. Experience Italy in a cup of India's finest! We sow, grow, pick, process, roast, grind, package & dispatch all our coffee ourselves-NO middlemen!",https://sevenbeans.co/products/spresso-coffee,https://cdn.shopify.com/s/files/1/3099/9380/products/SevenBeans_Spresso-01.jpg?v=1602083125,250g:390.00; 250g:390.00
Seven Beans,Combo - Eka with an Espresso Cup,₹699.0,INR,,https://sevenbeans.co/products/eka-espresso-cup-set,https://cdn.shopify.com/s/files/1/3099/9380/products/EkaEspressoDeal.jpg?v=1601289764,250g:699.00; 250g:699.00; 250g:699.00; 250g:699.00; 250g:699.00; 250g:699.00; 250g:699.00; 250g:699.00
Seven Beans,Woddae Coffee,₹390.0,INR,"Coffee: Arabica & Robusta Smooth coffee with rich crema and a heady cacao aroma! This unique coffee works well as both black coffee and with milk. These perfectly roasted coffee beans are hand-picked from our very own plantations in Chikmagalur. Experience Italy in a cup of India's finest! We sow, grow, pick, process, roast, grind, package & dispatch all our coffee ourselves-NO middlemen!",https://sevenbeans.co/products/woddae,https://cdn.shopify.com/s/files/1/3099/9380/products/Woddae-coffee-bag-mockupcopy.jpg?v=1602749520,250g:390.00; 250g:390.00
Seven Beans,"The 12 Coffee Subscription – Freshly Roasted, Delivered to Your Door",₹4860.0,INR,"Never run out of great coffee again. The 12 Coffee Subscription is designed for coffee lovers who want freshly roasted coffee, delivered consistently , without the hassle of reordering. Choose your favourite blends, grind size, and quantity — and we’ll take care of the rest. Whether you enjoy a daily cup or brew for the whole household, this subscription ensures your coffee is always fresh, flavourful, and right on time . Why Subscribe? Freshly Roasted, Always Your coffee is roasted in small batches and delivered at peak freshness. Flexible to Your Taste Choose from blends like Urja, Mishta, Eka, or Arabica — and your preferred grind. Consistent Supply No last-minute orders. No running out. Just great coffee, every time. Built-In Savings 250g packs – Save 10% 500g packs – Save 15% The more you commit, the more you save. What You Get 12 deliveries of freshly roasted coffee Your choice of blend, grind, and weight Exclusive subscription pricing Hassle-free, reliable delivery",https://sevenbeans.co/products/subscription-12-deliveries,https://cdn.shopify.com/s/files/1/3099/9380/products/Subscribe_5fa341d7-71f9-4cdf-b305-97ef7c9fc17f.jpg?v=1591870815,250g:5130.00; 250g:5130.00; 250g:5130.00; 250g:5130.00; 250g:5130.00; 250g:5130.00; 250g:5130.00; 500g:9690.00; 500g:9690.00; 500g:9690.00; 500g:9690.00; 500g:9690.00; 500g:9690.00; 500g:9690.00; 250g:5940.00; 250g:5940.00; 250g:5940.00; 250g:5940.00; 250g:5940.00; 250g:5940.00; 250g:5940.00; 500g:11220.00; 500g:11220.00; 500g:11220.00; 500g:11220.00; 500g:11220.00; 500g:11220.00; 500g:11220.00; 250g:4860.00; 250g:4860.00; 250g:4860.00; 250g:4860.00; 250g:4860.00; 250g:4860.00; 250g:4860.00; 500g:9180.00; 500g:9180.00; 500g:9180.00; 500g:9180.00; 500g:9180.00; 500g:9180.00; 500g:9180.00; 250g:5940.00; 250g:5940.00; 250g:5940.00; 250g:5940.00; 250g:5940.00; 250g:5940.00; 250g:5940.00; 500g:11220.00; 500g:11220.00; 500g:11220.00; 500g:11220.00; 500g:11220.00; 500g:11220.00; 500g:11220.00; 250g:6480.00; 250g:6480.00; 250g:6480.00; 250g:6480.00; 250g:6480.00; 250g:6480.00; 500g:12240.00; 500g:12240.00; 500g:12240.00; 500g:12240.00; 500g:12240.00; 500g:12240.00
Seven Beans,"The 8 Coffee Subscription – Freshly Roasted, Delivered to Your Door",₹3240.0,INR,"Never run out of great coffee again. The 8 Coffee Subscription is designed for coffee lovers who want freshly roasted coffee, delivered consistently , without the hassle of reordering. Choose your favourite blends, grind size, and quantity — and we’ll take care of the rest. Whether you enjoy a daily cup or brew for the whole household, this subscription ensures your coffee is always fresh, flavourful, and right on time . Why Subscribe? Freshly Roasted, Always Your coffee is roasted in small batches and delivered at peak freshness. Flexible to Your Taste Choose from blends like Urja, Mishta, Eka, or Arabica — and your preferred grind. Consistent Supply No last-minute orders. No running out. Just great coffee, every time. Built-In Savings 250g packs – Save 10% 500g packs – Save 15% The more you commit, the more you save. What You Get 8 deliveries of freshly roasted coffee Your choice of blend, grind, and weight Exclusive subscription pricing Hassle-free, reliable delivery",https://sevenbeans.co/products/copy-of-subscription-8-deliveries,https://cdn.shopify.com/s/files/1/3099/9380/products/Subscribe_e81d65d3-9541-4d78-b5ff-cac4978c2b4d.jpg?v=1591870868,250g:3420.00; 250g:3420.00; 250g:3420.00; 250g:3420.00; 250g:3420.00; 250g:3420.00; 250g:3420.00; 500g:6460.00; 500g:6460.00; 500g:6460.00; 500g:6460.00; 500g:6460.00; 500g:6460.00; 500g:6460.00; 250g:3960.00; 250g:3960.00; 250g:3960.00; 250g:3960.00; 250g:3960.00; 250g:3960.00; 250g:3960.00; 500g:7480.00; 500g:7480.00; 500g:7480.00; 500g:7480.00; 500g:7480.00; 500g:7480.00; 500g:7480.00; 250g:3240.00; 250g:3240.00; 250g:3240.00; 250g:3240.00; 250g:3240.00; 250g:3240.00; 250g:3240.00; 500g:6120.00; 500g:6120.00; 500g:6120.00; 500g:6120.00; 500g:6120.00; 500g:6120.00; 500g:6120.00; 250g:3960.00; 250g:3960.00; 250g:3960.00; 250g:3960.00; 250g:3960.00; 250g:3960.00; 250g:3960.00; 500g:7480.00; 500g:7480.00; 500g:7480.00; 500g:7480.00; 500g:7480.00; 500g:7480.00; 500g:7480.00
Seven Beans,"The 4 Coffee Subscription – Freshly Roasted, Delivered to Your Door",₹1620.0,INR,"Never run out of great coffee again. The 4 Coffee Subscription is designed for coffee lovers who want freshly roasted coffee, delivered consistently , without the hassle of reordering. Choose your favourite blends, grind size, and quantity — and we’ll take care of the rest. Whether you enjoy a daily cup or brew for the whole household, this subscription ensures your coffee is always fresh, flavourful, and right on time . Why Subscribe? Freshly Roasted, Always Your coffee is roasted in small batches and delivered at peak freshness. Flexible to Your Taste Choose from blends like Urja, Mishta, Eka, or Arabica — and your preferred grind. Consistent Supply No last-minute orders. No running out. Just great coffee, every time. Built-In Savings 250g packs – Save 10% 500g packs – Save 15% The more you commit, the more you save. What You Get 4 deliveries of freshly roasted coffee Your choice of blend, grind, and weight Exclusive subscription pricing Hassle-free, reliable delivery",https://sevenbeans.co/products/subscription-4-deliveries,https://cdn.shopify.com/s/files/1/3099/9380/products/Subscribe_49e1608b-34a2-49ad-967e-99f73df6454c.jpg?v=1591870737,250g:1710.00; 250g:1710.00; 250g:1710.00; 250g:1710.00; 250g:1710.00; 250g:1710.00; 250g:1710.00; 500g:3230.00; 500g:3230.00; 500g:3230.00; 500g:3230.00; 500g:3230.00; 500g:3230.00; 500g:3230.00; 250g:1980.00; 250g:1980.00; 250g:1980.00; 250g:1980.00; 250g:1980.00; 250g:1980.00; 250g:1980.00; 500g:3740.00; 500g:3740.00; 500g:3740.00; 500g:3740.00; 500g:3740.00; 500g:3740.00; 500g:3740.00; 250g:1620.00; 250g:1620.00; 250g:1620.00; 250g:1620.00; 250g:1620.00; 250g:1620.00; 250g:1620.00; 500g:3060.00; 500g:3060.00; 500g:3060.00; 500g:3060.00; 500g:3060.00; 500g:3060.00; 500g:3060.00; 250g:1980.00; 250g:1980.00; 250g:1980.00; 250g:1980.00; 250g:1980.00; 250g:1980.00; 250g:1980.00; 500g:3740.00; 500g:3740.00; 500g:3740.00; 500g:3740.00; 500g:3740.00; 500g:3740.00; 500g:3740.00; 250g:2160.00; 250g:2160.00; 250g:2160.00; 250g:2160.00; 250g:2160.00; 250g:2160.00; 250g:2160.00; 500g:4080.00; 500g:4080.00; 500g:4080.00; 500g:4080.00; 500g:4080.00; 500g:4080.00; 500g:4080.00
Seven Beans,"“Urubage"" South Indian Filter Coffee Powder - Coffee: 80%, Chicory: 20%",₹360.0,INR,"This handpicked coffee is roasted, ground, and mixed with chicory to give the delicious aroma and taste of south Indian coffee. This coarsely ground roasted coffee has a rich intense flavor and aroma. Packaged after being freshly roasted and ground to maintain exceptional quality. Makes an aromatic thick decoction when used in a south Indian filter. Available in a dark roast for those who prefer a stronger coffee taste Grown, Roasted & Packaged in Chikmagalur",https://sevenbeans.co/products/seven-beans-urubage-south-indian-filter-coffee-powder-coffee-80-chicory-21,https://cdn.shopify.com/s/files/1/3099/9380/products/2048x2048-02.jpg?v=1602085230,100g:360.00; 500g:499.00; 500g:899.00; 500g:499.00; 500g:899.00
Seven Beans,Arabica | AAA Single Origin Chikmagalur Coffee |  Italian Artisan Roast |,₹550.0,INR,"Dark: A heavy-bodied coffee with smoky undertones. Medium: A light-bodied coffee with hints of ginger and a smooth zesty finish. Roast: Dark/Medium Pairing: Breads & desserts Notes: Dark - Smoked Oak & Bitter Chocolate Medium - Citrus & Ginger Coffee: 100% Arabica Ecological harmony: Our coffee beans are directly sourced from SHADE-GROWN coffee farms. Our farms do not encroach on or disturb natural ecology, instead they exist in perfect symbiotic harmony among the plethora of naturally occurring flora & fauna. Suggested preparations: Decoction,Espresso, Americano, Cappuccino, Latte, Cold Coffee Dante Cagliari: Our Rockstar Roastmaster is quintessentially Italian and is the man behind our pursuit of blending perfection ! His 4th generation legacy and 50 years of personal experience in coffee roasting ensures that every blend is, simply put, ""bella"" ! Roast: This bag of heavenly goodness is available in both a medium and dark roast, allowing the subtle nuances of the coffees to be enjoyed to the fullest. The Real Deal: We sow, grow, pick, process, grade, blend, roast, grind, package and deliver your coffee OURSELVES. Enough said!",https://sevenbeans.co/products/seven-beans-100-arabica-single-origin-gourmet-indian-coffee,https://cdn.shopify.com/s/files/1/3099/9380/files/ARABICA_MEDIUM_250g_FRONT.png?v=1782388620,250g:550.00; 250g:550.00; 250g:550.00; 250g:550.00; 250g:550.00; 250g:550.00; 250g:550.00; 250g:550.00; 250g:550.00; 250g:550.00; 250g:550.00; 250g:550.00; 250g:550.00; 250g:550.00; 250g:550.00; 250g:550.00; 250g:550.00; 250g:550.00
Seven Beans,Mishta - Cold Brew (Currently delivering within Bangalore only),₹150.0,INR,A sweet delicate-bodied brew with a bright after taste. Pairs well with confectionery & desserts. Cold Brew is a ready to drink caffeinated beverage. It is prepared by soaking coffee grounds in water for 12 – 24 hours and then filtered. Our signature Seven Beans Coffee cold brew has all the goodness of coffee without the acidity which makes it easier to identify flavour nuances. Each 200 ml cold brew is estimated to be equivalent to 2 cups of coffee and is best had chilled. You can personalise your cold brew by adding milk and sugar to taste. It can be left at room temperature for up to 4 hours.,https://sevenbeans.co/products/mishta-cold-brew,https://cdn.shopify.com/s/files/1/3099/9380/products/image_45490b80-8045-4d6e-b02c-0521f5dbfe13.jpg?v=1525961247,200ml:150.00; 500ml:300.00
Seven Beans,Urja - Cold Brew (Currently delivering within Bangalore only),₹150.0,INR,"An even-bodied brew with a smooth finish. Pairs well with subtle flavours. Eg- cheese, breads Cold Brew is a ready to drink caffeinated beverage. It is prepared by soaking coffee grounds in water for 12 – 24 hours and then filtered. Our signature Seven Beans Coffee cold brew has all the goodness of coffee without the acidity which makes it easier to identify flavour nuances. Each 200 ml cold brew is estimated to be equivalent to 2 cups of coffee and is best had chilled. You can personalise your cold brew by adding milk and sugar to taste. It can be left at room temperature for up to 4 hours.",https://sevenbeans.co/products/urja-cold-brew,https://cdn.shopify.com/s/files/1/3099/9380/products/image_f3f5942f-bae6-422e-bf44-867cb3b1b11d.jpg?v=1525961270,200ml:150.00; 500ml:300.00
Seven Beans,Eka - Cold Brew (Currently delivering within Bangalore only),₹150.0,INR,"A full-bodied brew, with rich flavour. Pairs well with savoury, strong flavours. Cold Brew is a ready to drink caffeinated beverage. It is prepared by soaking coffee grounds in water for 12 – 24 hours and then filtered. Our signature Seven Beans Coffee cold brew has all the goodness of coffee without the acidity which makes it easier to identify flavour nuances. Each 200 ml cold brew is estimated to be equivalent to 2 cups of coffee and is best had chilled. You can personalise your cold brew by adding milk and sugar to taste. It can be left at room temperature for up to 4 hours.",https://sevenbeans.co/products/eka-cold-brew,https://cdn.shopify.com/s/files/1/3099/9380/products/image.jpg?v=1525961214,200ml:150.00; 500ml:300.00
Seven Beans,Bialetti® - Moka Express,₹4700.0,INR,"Enduring quality & design The Bialetti Moka celebrates more than 80 years of classic design elegance and technological simplicity. From the early 1950s to the present day, Bialetti has manufactured over 200 million coffee makers. In particular, the Moka Express has become iconic and has allowed millions of consumers to enjoy great Italian coffee. The Moka produces a rich, authentic espresso in just minutes. The aluminum pot features Bialetti’s distinctive eight-sided shape that allows it to diffuse heat perfectly to enhance the aroma of your coffee. Dispatch Time: 2-3 working days",https://sevenbeans.co/products/bialetti®-moka-express,https://cdn.shopify.com/s/files/1/3099/9380/products/MokaPot-01.jpg?v=1602084124,3 Cup / White:4700.00; 3 Cup / Red:5000.00; 6 Cup / White:6200.00; 6 Cup / Red:7300.00; 3 Cup / Black:5000.00; 6 Cup / Black:7300.00
Seven Beans,Bialetti® Coffee Press Preziosa,₹5000.0,INR,"The Bialetti French Press provides the simplest way of making quality, traditional coffee. It is made from 18/10 stainless steel with a glass cylinder and features a l’Omino (the little man) cutout, which is widely recognized as Bialetti’s original symbol of quality and authenticity. Dispatch Time: 2-3 working days",https://sevenbeans.co/products/bialetti®-coffee-press-preziosa,https://cdn.shopify.com/s/files/1/3099/9380/products/Bialetti-01.jpg?v=1602084510,350 ml / Silver:5000.00; 1000 ml / Silver:6300.00
Seven Beans,Bialetti® Mini Express Set,₹8000.0,INR,"Perfect for on-the-go The Mini Express is the crowning achievement of Bialetti’s design and creativity. Its innovative system, in which coffee is directly dispensed into the cup, makes it possible to make a coffee that is always hot and ready to be served. Mini Express is a coffee maker designed for a truly special coffee getaway. Coffee maker & two cups included. Dispatch Time: 2-3 working days",https://sevenbeans.co/products/bialetti-mini-express,https://cdn.shopify.com/s/files/1/3099/9380/products/Bialetti-04.jpg?v=1602084420,Red:8000.00; Yellow:8000.00; Black:8000.00
