roaster,name,price,currency,description,product_url,image_url,variants
Vui,Yellow Honey (Medium - Dark),₹790.0,INR,"This coffee is clean, bright, and easy to drink. Rich nutty flavors form the base, with just a dash of fruit to keep it lively. It’s a cup for people who like balance - simple, steady, and quietly satisfying. Process Like Black Honey, the skin is removed using the ‘Pulper’ machine. The pulp (‘Honey’) is hosed and rubbed down, using a machine called ‘Washer’. The beans covered in only a thin layer of pulp are put to sun-dry. Produces rich nutty flavours with a dash of fruitiness at high clarity.",https://vuivui.in/products/yellow-honey,https://cdn.shopify.com/s/files/1/0809/1398/9926/files/Yellow_Honey_95b468bd-b8a5-4421-8c5f-42c4f491a54c.png?v=1760506309,250g:790.00; 250g:790.00; 250g:790.00; 250g:790.00; 250g:790.00; 250g:790.00; 250g:790.00; 500g:1580.00; 500g:1580.00; 500g:1580.00; 500g:1580.00; 500g:1580.00; 500g:1580.00; 500g:1580.00; 1kg:3160.00; 1kg:3160.00; 1kg:3160.00; 1kg:3160.00; 1kg:3160.00; 1kg:3160.00; 1kg:3160.00
Vui,Double Ferment (Light - Medium),₹850.0,INR,"This coffee is for the curious connoisseurs who enjoy delicate layers of complexity. It has a rich, velvety mouth feel, and finishes as smooth and sweet as wild honey. Process In addition to Lactobacilli, Yeast is used to ferment the coffee cherries. Our most special process yet, a pushing the boundaries on what coffees can taste like, while retaining the original essence. Rich, velvety mouth-feel, and a finish that is smooth as wild honey.",https://vuivui.in/products/double-ferment,https://cdn.shopify.com/s/files/1/0809/1398/9926/files/Double_Ferment_f628332e-74e5-43dc-9a80-f67c95747d77.png?v=1760504890,250g:850.00; 250g:850.00; 250g:850.00; 500g:1700.00; 500g:1700.00; 500g:1700.00; 1kg:3400.00; 1kg:3400.00; 1kg:3400.00
Vui,Carbonic Maceration (Medium),₹850.0,INR,"This coffee is for those who want a dependable cup that feels effortless yet never boring. Easy to brew, it rewards you with smooth, layered flavors and a rounded finish that keeps you coming back every day. Process Liquid CO2 from thin, long gas cylinders vaporize into gas as they fill the fermentation chamber brimming with coffee cherries. This process causes a drop in temperature and death of microbes that can’t survive in an atmosphere of CO2, leaving the rest to feast on the rich natural sugars. Produces smooth, complex notes and a rounded finish .",https://vuivui.in/products/carbonic-maceration,https://cdn.shopify.com/s/files/1/0809/1398/9926/files/Carbonic_Maceration_5184596e-2fb0-42b8-adda-2dffc2360642.png?v=1760504928,250g:850.00; 250g:850.00; 250g:850.00; 500g:1700.00; 500g:850.00; 500g:1700.00; 1kg:3400.00; 1kg:850.00; 1kg:3400.00
Vui,Washed (Light - Medium),₹750.0,INR,"This process brings out nutty flavors with exceptional clarity and consistency. It’s for those who want a clean and reliable cup every single time - familiar, steady, and free of surprises. Process The coffee cherries are put through the ‘Pulper’ and ‘Washer’, and the beans are washed clean of all the pulp. The naked bean is sun-dried, eschewing the fruit in its entirety. Produces nutty flavours in exceptional clarity and consistency.",https://vuivui.in/products/washed-light-medium,https://cdn.shopify.com/s/files/1/0809/1398/9926/files/Washed_Light-Medium_686d6eeb-d038-49e2-8336-aa81c80f17c1.png?v=1782479826,250g:750.00; 250g:750.00; 250g:750.00; 500g:1500.00; 500g:750.00; 500g:750.00; 1kg:3000.00; 1kg:750.00; 1kg:750.00
Vui,Robusta (Dark),₹550.0,INR,"This coffee is for those who want strength in their cup. It’s bold, earthy, and packed with caffeine that keeps you awake and keeps you going. Perfect for making Vietnamese iced coffee at home, or whenever you need that extra push. Process The coffee cherries are put through the ‘Pulper’ and ‘Washer’, and the beans are washed clean of all the pulp. The naked bean is sun-dried, eschewing the fruit in its entirety. Produces nutty flavours in exceptional clarity and consistency.",https://vuivui.in/products/robusta-to-do,https://cdn.shopify.com/s/files/1/0809/1398/9926/files/Robusta_Small_c992028e-5f46-4c4f-8794-e609d4aee9f8.png?v=1760504776,250g:550.00; 250g:550.00; 250g:550.00; 250g:550.00; 500g:1100.00; 500g:1100.00; 500g:1100.00; 500g:1100.00; 1kg:2200.00; 1kg:2200.00; 1kg:2200.00; 1kg:2200.00
Vui,BIOCHAR,₹350.0,INR,"Biochar is a carbon-rich, natural soil conditioner. It is produced by heating plant-based biomass in an oxygen-limited environment. Technical Specifications 300 sqm/gm (Total Surface Area) 90 sqm/gm (Pore Surface Area) Cation Exchange Capacity : 300 cmol/kg",https://vuivui.in/products/biochar,https://cdn.shopify.com/s/files/1/0809/1398/9926/files/PHOTO-2025-09-14-14-17-58.jpg?v=1758643582,240g:350.00; 450g:550.00; 750g:800.00
Vui,Naturals (Medium-Dark),₹790.0,INR,"This is a fruit-forward coffee that feels alive in the cup. Sweet and bright, it bursts with ripe, fruity flavors and finishes with a winey pop that lingers on your palate. If you love coffee that surprises and excites, this one is for you. Process The ‘Naturals’ process involves drying the whole cherries – not too ripe, and not a hint of green. Uniformity of drying under the skin is the main challenge. Produces intense fruity notes, full of natural sweetness",https://vuivui.in/products/naturals-medium-dark,https://cdn.shopify.com/s/files/1/0809/1398/9926/files/Naturals_Medium-Dark_30652972-9daf-4c0c-a460-b882cc9f05e7.png?v=1760504833,250g:790.00; 250g:790.00; 250g:790.00; 250g:790.00; 250g:790.00; 250g:790.00; 250g:790.00; 500g:1580.00; 500g:1580.00; 500g:1580.00; 500g:1580.00; 500g:1580.00; 500g:1580.00; 500g:1580.00; 1kg:3160.00; 1kg:3160.00; 1kg:3160.00; 1kg:3160.00; 1kg:3160.00; 1kg:3160.00; 1kg:3160.00
Vui,Espresso Blend (Dark),₹650.0,INR,"This blend is crafted for espresso lovers. It greets you with an intense aroma, carries through with a creamy body, and ends with a clean, pleasant finish. Consistent and reliable, it’s the kind of espresso you can come back to every day. Process:- If we didn’t tell you, you may not detect the dash of Robusta here. On this spine of Robusta rests the dominant Washed Arabica. Intense aroma, creamy texture and a pleasant finish land in your cup of Espresso; consistently, and at high clarity.",https://vuivui.in/products/espresso-blend,https://cdn.shopify.com/s/files/1/0809/1398/9926/files/Espresso_Blend_8863ddb0-fc93-4087-bc8d-170c17f0c5f9.png?v=1760504851,250g:650.00; 250g:650.00; 250g:650.00; 250g:650.00; 500g:1300.00; 500g:1300.00; 500g:1300.00; 500g:1300.00; 1kg:2600.00; 1kg:2600.00; 1kg:2600.00; 1kg:2600.00
Vui,Filter Blend (Dark),₹600.0,INR,"This blend of 50% Arabica and 50% Robusta is made for those who find comfort in a homely cup of filter coffee. It’s bold enough to wake you up, yet smooth and mellow enough to feel familiar, like the coffee you grew up with. If you love a cup that feels like home, this one is for you. Process Aroma and flavour from Washed Arabica, and nuttiness from high altitude Robusta. Roasted dark for a strong body and rich, smooth finish. Strictly for milk, and best brewed in a Moka Pot.",https://vuivui.in/products/filter-blend,https://cdn.shopify.com/s/files/1/0809/1398/9926/files/Filter_Blend_3a62e767-addd-44f5-858e-f1eb46eac66e.png?v=1760504870,250g:600.00; 250g:600.00; 250g:600.00; 250g:600.00; 500g:1200.00; 500g:1200.00; 500g:1200.00; 500g:1200.00; 1kg:2400.00; 1kg:2400.00; 1kg:2400.00; 1kg:2400.00
Vui,Washed (Medium-Dark),₹750.0,INR,"This process brings out nutty flavors with exceptional clarity and consistency. It’s for those who want a clean and reliable cup every single time - familiar, steady, and free of surprises. Process The coffee cherries are put through the ‘Pulper’ and ‘Washer’, and the beans are washed clean of all the pulp. The naked bean is sun-dried, eschewing the fruit in its entirety. Produces nutty flavours in exceptional clarity and consistency.",https://vuivui.in/products/washed,https://cdn.shopify.com/s/files/1/0809/1398/9926/files/Washed_Medium-Dark_7dae0d8b-4b32-4a16-a5b9-f55012095970.png?v=1782479825,250g:750.00; 250g:750.00; 250g:750.00; 250g:750.00; 250g:750.00; 250g:750.00; 250g:750.00; 500g:1500.00; 500g:1500.00; 500g:1500.00; 500g:1500.00; 500g:1500.00; 500g:1500.00; 500g:1500.00; 1kg:3000.00; 1kg:3000.00; 1kg:3000.00; 1kg:3000.00; 1kg:3000.00; 1kg:3000.00; 1kg:3000.00
