Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Origin,Process,Desc,URL,Image_URL,Category
12-Pack Subscription,Bombay Island,495.0,250g,,,,,"Love India's finest artisanal coffees? 
 Subscribe for 12-packs and save up to 20% compared to buying single packs. 
  Why Choose Subscriptions?   
 
 No additional Delivery Charges 
 
 Get freshly roasted coffee every time 
 Order and forget - no need to keep a track of your coffee stock at home 
 Reschedule &amp; pause deliveries as needed 
 Customizable - change your coffee any time",https://www.bombayisland.com/products/12-pack-subscription,https://cdn.shopify.com/s/files/1/0518/5801/4378/products/12-packSubscription-CoverImage-BombayIsland.webp?v=1665733551,Subscriptions
12-Pack Subscription,Bombay Island,914.5,500g,,,,,"Love India's finest artisanal coffees? 
 Subscribe for 12-packs and save up to 20% compared to buying single packs. 
  Why Choose Subscriptions?   
 
 No additional Delivery Charges 
 
 Get freshly roasted coffee every time 
 Order and forget - no need to keep a track of your coffee stock at home 
 Reschedule &amp; pause deliveries as needed 
 Customizable - change your coffee any time",https://www.bombayisland.com/products/12-pack-subscription,https://cdn.shopify.com/s/files/1/0518/5801/4378/products/12-packSubscription-CoverImage-BombayIsland.webp?v=1665733551,Subscriptions
12-Pack Subscription,Bombay Island,1683.0,1000g,,,,,"Love India's finest artisanal coffees? 
 Subscribe for 12-packs and save up to 20% compared to buying single packs. 
  Why Choose Subscriptions?   
 
 No additional Delivery Charges 
 
 Get freshly roasted coffee every time 
 Order and forget - no need to keep a track of your coffee stock at home 
 Reschedule &amp; pause deliveries as needed 
 Customizable - change your coffee any time",https://www.bombayisland.com/products/12-pack-subscription,https://cdn.shopify.com/s/files/1/0518/5801/4378/products/12-packSubscription-CoverImage-BombayIsland.webp?v=1665733551,Subscriptions
4-Pack Subscription,Bombay Island,522.5,250g,,,,,"Love India's finest artisanal coffees? 
 Subscribe for 4-packs and save up to 15% compared to buying single packs. 
  Why Choose Subscriptions?   
 
 No additional Delivery Charges 
 
 Get freshly roasted coffee every time 
 Order and forget - no need to keep a track of your coffee stock at home 
 Reschedule &amp; pause deliveries as needed 
 Customizable - change your coffee any time",https://www.bombayisland.com/products/4-pack-subscription,https://cdn.shopify.com/s/files/1/0518/5801/4378/products/4-packSubscription-CoverImage-BombayIsland_fd15588f-46b2-4761-88d6-bf2b294d038d.webp?v=1665733399,Subscriptions
4-Pack Subscription,Bombay Island,966.75,500g,,,,,"Love India's finest artisanal coffees? 
 Subscribe for 4-packs and save up to 15% compared to buying single packs. 
  Why Choose Subscriptions?   
 
 No additional Delivery Charges 
 
 Get freshly roasted coffee every time 
 Order and forget - no need to keep a track of your coffee stock at home 
 Reschedule &amp; pause deliveries as needed 
 Customizable - change your coffee any time",https://www.bombayisland.com/products/4-pack-subscription,https://cdn.shopify.com/s/files/1/0518/5801/4378/products/4-packSubscription-CoverImage-BombayIsland_fd15588f-46b2-4761-88d6-bf2b294d038d.webp?v=1665733399,Subscriptions
4-Pack Subscription,Bombay Island,1782.0,1000g,,,,,"Love India's finest artisanal coffees? 
 Subscribe for 4-packs and save up to 15% compared to buying single packs. 
  Why Choose Subscriptions?   
 
 No additional Delivery Charges 
 
 Get freshly roasted coffee every time 
 Order and forget - no need to keep a track of your coffee stock at home 
 Reschedule &amp; pause deliveries as needed 
 Customizable - change your coffee any time",https://www.bombayisland.com/products/4-pack-subscription,https://cdn.shopify.com/s/files/1/0518/5801/4378/products/4-packSubscription-CoverImage-BombayIsland_fd15588f-46b2-4761-88d6-bf2b294d038d.webp?v=1665733399,Subscriptions
52 Deliveries - 1 per week for Vienna Roast,Bombay Island,44571.0,,Vienna Roast,52 Deliveries - 2 per week for Vienna,,,"52 Deliveries - 2 per week for Vienna Roast - 1 pack of V60, 1 pack of whole beans",https://www.bombayisland.com/products/52-deliveries-1-per-week-for-vienna-roast,,Coffee
8-Pack Subscription,Bombay Island,508.75,250g,,,,,"Love India's finest artisanal coffees? 
 Subscribe for 8-packs and save up to 17.5% compared to buying single packs. 
  Why Choose Subscriptions?   
 
 No additional Delivery Charges 
 
 Get freshly roasted coffee every time 
 Order and forget - no need to keep a track of your coffee stock at home 
 Reschedule &amp; pause deliveries as needed 
 Customizable - change your coffee any time",https://www.bombayisland.com/products/8-pack-subscription,https://cdn.shopify.com/s/files/1/0518/5801/4378/products/8-packSubscription-CoverImage-BombayIsland.webp?v=1665733470,Subscriptions
8-Pack Subscription,Bombay Island,940.5,500g,,,,,"Love India's finest artisanal coffees? 
 Subscribe for 8-packs and save up to 17.5% compared to buying single packs. 
  Why Choose Subscriptions?   
 
 No additional Delivery Charges 
 
 Get freshly roasted coffee every time 
 Order and forget - no need to keep a track of your coffee stock at home 
 Reschedule &amp; pause deliveries as needed 
 Customizable - change your coffee any time",https://www.bombayisland.com/products/8-pack-subscription,https://cdn.shopify.com/s/files/1/0518/5801/4378/products/8-packSubscription-CoverImage-BombayIsland.webp?v=1665733470,Subscriptions
8-Pack Subscription,Bombay Island,1732.5,1000g,,,,,"Love India's finest artisanal coffees? 
 Subscribe for 8-packs and save up to 17.5% compared to buying single packs. 
  Why Choose Subscriptions?   
 
 No additional Delivery Charges 
 
 Get freshly roasted coffee every time 
 Order and forget - no need to keep a track of your coffee stock at home 
 Reschedule &amp; pause deliveries as needed 
 Customizable - change your coffee any time",https://www.bombayisland.com/products/8-pack-subscription,https://cdn.shopify.com/s/files/1/0518/5801/4378/products/8-packSubscription-CoverImage-BombayIsland.webp?v=1665733470,Subscriptions
